geolocation_state,geolocation_zip_code_prefix,geolocation_lat_x,geolocation_lng_x
SP,2018,-23.495703706178833,-46.62970690460868
SP,2019,-23.498263084919962,-46.62965156173039
SP,2020,-23.49646860368892,-46.63329280565476
SP,2021,-23.49830914117729,-46.635885898464316
SP,2022,-23.504073903424537,-46.6376709347386
SP,2028,-23.50870254456776,-46.61833692171872
SP,2029,-23.50936207852278,-46.619343553001265
SP,2030,-23.505871338521402,-46.62468256911272
SP,2031,-23.510062708819763,-46.6257781627838
SP,2032,-23.511068260729207,-46.62384982222437
SP,2033,-23.49990045339548,-46.615049990749235
SP,2034,-23.504072876495652,-46.62414421625581
SP,2035,-23.496211310932598,-46.62282500873062
SP,2036,-23.501744307143422,-46.62080286230928
SP,2037,-23.499718221076254,-46.62055504527753
SP,2038,-23.49523752805909,-46.62416228233209
SP,2039,-23.49302509597309,-46.621603479583534
SP,2040,-23.48965996001443,-46.622571665092934
SP,2041,-23.490626476607115,-46.62307980262541
SP,2042,-23.494233904442222,-46.61637715243747
SP,2043,-23.489943419781977,-46.61612445688869
SP,2044,-23.495724717630402,-46.618787965852384
SP,2045,-23.49614649201779,-46.616402919178896
SP,2046,-23.49228045530089,-46.6117694020757
SP,2047,-23.51721555382505,-46.618673963872304
SP,2049,-23.514166590335094,-46.61736559414439
SP,2050,-23.51734415478189,-46.612135226939586
SP,2051,-23.509988340079175,-46.607764415391046
SP,2052,-23.512974466155036,-46.60778378479692
SP,2053,-23.513227598850435,-46.602792691111006
SP,2054,-23.517195508095334,-46.606699212204454
SP,2055,-23.514029731318832,-46.60712616164343
SP,2056,-23.51230213331166,-46.60278807725412
SP,2060,-23.519005155195273,-46.60286093182149
SP,2064,-23.517676960434017,-46.597964629407336
SP,2065,-23.507711240884014,-46.605369299131056
SP,2066,-23.508643305018005,-46.6052956688157
SP,2067,-23.50672028105331,-46.603653419963514
SP,2068,-23.505132506228197,-46.612375320762865
SP,2069,-23.505534343983754,-46.613927707539226
SP,2071,-23.504278758029905,-46.6064276723511
SP,2072,-23.50016492784018,-46.60405533511346
SP,2073,-23.50183202803718,-46.607133930305224
SP,2074,-23.50521986198309,-46.60044750495477
SP,2075,-23.505454220429986,-46.60232703217922
SP,2076,-23.504660529782434,-46.59909846180968
SP,2077,-23.502316162953992,-46.59729440070282
SP,2078,-23.50224822474882,-46.595609671297865
SP,2079,-23.499287714127018,-46.605785079672366
SP,2080,-23.497670419903162,-46.605361571706716
SP,2081,-23.495841332603625,-46.60469932466566
SP,2082,-23.49459706456804,-46.607166793136535
SP,2083,-23.495321455594585,-46.59793556042432
SP,2084,-23.497275216798545,-46.59974305553181
SP,2085,-23.4979526826485,-46.6129677377595
SP,2088,-23.50424025971884,-46.620742066583865
SP,2089,-23.51709448459233,-46.616673100755904
SP,2110,-23.519097465042975,-46.595538854316054
SP,2111,-23.517643001212136,-46.592756877647595
SP,2112,-23.517448624283094,-46.59045121964735
SP,2113,-23.517720495682244,-46.589226620340014
SP,2114,-23.522317926702843,-46.59061483317943
SP,2115,-23.526589649122574,-46.59169265929573
SP,2116,-23.520110678826004,-46.58524004305731
RN,2116,-23.520110678826004,-46.58524004305731
SP,2117,-23.51865496410496,-46.59365984819465
SP,2118,-23.515006511347327,-46.59277463488238
SP,2119,-23.51220780313035,-46.59263904944159
SP,2120,-23.510824402445753,-46.59388576024579
SP,2121,-23.51222906922023,-46.5896833188041
SP,2122,-23.51196609358015,-46.58386437718145
SP,2123,-23.511838083991446,-46.579442496039015
SP,2124,-23.506976913025856,-46.57712086357542
SP,2125,-23.509839952402746,-46.586803354893675
SP,2126,-23.506898021382852,-46.591751147883535
SP,2127,-23.505597968453053,-46.58726574110867
SP,2128,-23.50501951707933,-46.593942564083434
SP,2129,-23.50371906481274,-46.588291028965315
SP,2130,-23.50846749738403,-46.58356366642945
